RBID,Player,RushingATT,RushingYDS,YardsPerATT,Longest,20YardsorMore,RushingTD,TGT,REC,RecYDS,YardsPerRec,RecTD,FumblesLost,Gamesplayed,FPTS,FPTSPerGame,ROST
1.0,Christian McCaffrey (SF),311.0,"1,202",3.9,41.0,3.0,10.0,129.0,102.0,924.0,9.1,7.0,0.0,17.0,416.6,24.5,97.6%
2.0,Bijan Robinson (ATL),287.0,"1,478",5.1,93.0,8.0,7.0,103.0,79.0,820.0,10.4,4.0,3.0,17.0,370.8,21.8,94.8%
3.0,Jahmyr Gibbs (DET),243.0,"1,223",5.0,78.0,10.0,13.0,94.0,77.0,616.0,8.0,5.0,1.0,17.0,366.9,21.6,94.8%
4.0,Jonathan Taylor (IND),323.0,"1,585",4.9,83.0,9.0,18.0,55.0,46.0,378.0,8.2,2.0,1.0,17.0,362.3,21.3,94.0%
5.0,De'Von Achane (MIA),238.0,"1,350",5.7,59.0,13.0,8.0,85.0,67.0,488.0,7.3,4.0,0.0,16.0,322.8,20.2,94.2%
6.0,James Cook III (BUF),309.0,"1,621",5.2,64.0,9.0,12.0,40.0,33.0,291.0,8.8,2.0,3.0,17.0,302.2,17.8,97.4%
7.0,Chase Brown (CIN),232.0,"1,019",4.4,37.0,6.0,6.0,88.0,69.0,437.0,6.3,5.0,0.0,17.0,282.6,16.6,92.3%
8.0,Derrick Henry (BAL),307.0,"1,595",5.2,59.0,17.0,16.0,21.0,15.0,150.0,10.0,0.0,3.0,17.0,279.5,16.4,92.9%
9.0,Kyren Williams (LAR),259.0,"1,252",4.8,34.0,6.0,10.0,50.0,36.0,281.0,7.8,3.0,2.0,17.0,263.3,15.5,95.9%
10.0,Travis Etienne Jr. (NO),260.0,"1,107",4.3,71.0,7.0,7.0,52.0,36.0,292.0,8.1,6.0,0.0,17.0,253.9,14.9,94.6%
11.0,Ashton Jeanty (LV),266.0,975,3.7,64.0,3.0,5.0,73.0,55.0,346.0,6.3,5.0,1.0,17.0,245.1,14.4,97.4%
12.0,Javonte Williams (DAL),252.0,"1,201",4.8,66.0,6.0,11.0,51.0,35.0,137.0,3.9,2.0,2.0,16.0,242.8,15.2,94.7%
13.0,Josh Jacobs (GB),234.0,929,4.0,40.0,3.0,13.0,44.0,36.0,282.0,7.8,1.0,2.0,15.0,237.1,15.8,96.0%
14.0,Saquon Barkley (PHI),280.0,"1,140",4.1,65.0,4.0,7.0,50.0,37.0,273.0,7.4,2.0,1.0,16.0,232.3,14.5,97.1%
15.0,D'Andre Swift (CHI),223.0,"1,087",4.9,25.0,5.0,9.0,48.0,34.0,299.0,8.8,1.0,2.0,16.0,228.6,14.3,88.3%
16.0,Kenneth Gainwell (TB),114.0,537,4.7,55.0,2.0,5.0,85.0,73.0,486.0,6.7,3.0,1.0,17.0,221.3,13.0,80.1%
17.0,Jaylen Warren (PIT),211.0,958,4.5,45.0,6.0,6.0,45.0,40.0,333.0,8.3,2.0,0.0,16.0,217.1,13.6,85.3%
18.0,Rico Dowdle (PIT),236.0,"1,076",4.6,53.0,5.0,6.0,50.0,39.0,297.0,7.6,1.0,1.0,17.0,216.3,12.7,81.8%
19.0,Breece Hall (NYJ),243.0,"1,065",4.4,59.0,8.0,4.0,48.0,36.0,350.0,9.7,1.0,2.0,16.0,207.7,13.0,89.5%
20.0,RJ Harvey (DEN),146.0,540,3.7,50.0,3.0,7.0,58.0,47.0,356.0,7.6,5.0,1.0,17.0,206.6,12.2,90.3%
21.0,TreVeyon Henderson (NE),180.0,911,5.1,69.0,6.0,9.0,42.0,35.0,221.0,6.3,1.0,1.0,17.0,206.2,12.1,93.0%
22.0,Kenneth Walker III (KC),221.0,"1,027",4.6,55.0,10.0,5.0,36.0,31.0,282.0,9.1,0.0,0.0,17.0,191.9,11.3,94.6%
23.0,Tony Pollard (TEN),242.0,"1,082",4.5,65.0,6.0,5.0,41.0,33.0,206.0,6.2,0.0,3.0,17.0,185.8,10.9,80.7%
24.0,Zach Charbonnet (SEA),184.0,730,4.0,30.0,5.0,12.0,24.0,20.0,144.0,7.2,0.0,0.0,16.0,181.4,11.3,79.4%
25.0,Rhamondre Stevenson (NE),130.0,603,4.6,56.0,7.0,7.0,37.0,32.0,345.0,10.8,2.0,3.0,14.0,178.8,12.8,85.0%
26.0,Quinshon Judkins (CLE),230.0,827,3.6,46.0,4.0,7.0,36.0,26.0,171.0,6.6,0.0,0.0,14.0,169.8,12.1,85.7%
