TEID,Player,TGT,TGT %,REC,RecYDS,YardsPerReception,20YardsorMore,RecTD,RushingATT,RushingYDS,RushingTD,FumblesLost,Gamesplayed,FPTS,FPTSPerGame,ROST
1.0,Trey McBride (ARI),169.0,27.5,126.0,"1,239",9.8,12.0,11.0,0.0,0.0,0.0,0.0,17.0,315.9,18.6,93.8%
2.0,Kyle Pitts Sr. (ATL),118.0,22.8,88.0,928,10.5,12.0,5.0,0.0,0.0,0.0,0.0,17.0,210.8,12.4,92.4%
3.0,Travis Kelce (KC),108.0,19.7,76.0,851,11.2,9.0,5.0,1.0,1.0,0.0,0.0,17.0,193.2,11.4,89.5%
4.0,Tyler Warren (IND),112.0,20.9,76.0,817,10.8,10.0,4.0,6.0,8.0,1.0,0.0,17.0,188.5,11.1,95.6%
5.0,Jake Ferguson (DAL),102.0,17.1,82.0,600,7.3,2.0,8.0,1.0,1.0,0.0,2.0,17.0,188.1,11.1,81.6%
6.0,Harold Fannin Jr. (CLE),107.0,20.8,72.0,731,10.2,8.0,6.0,7.0,13.0,1.0,1.0,16.0,186.4,11.7,85.3%
7.0,Dallas Goedert (PHI),82.0,17.6,60.0,591,9.9,7.0,11.0,0.0,0.0,0.0,0.0,15.0,185.1,12.3,89.1%
8.0,Juwan Johnson (NO),102.0,18.0,77.0,889,11.5,11.0,3.0,0.0,0.0,0.0,2.0,17.0,179.9,10.6,55.9%
9.0,Hunter Henry (NE),87.0,17.8,60.0,768,12.8,11.0,7.0,0.0,0.0,0.0,0.0,17.0,178.8,10.5,68.4%
10.0,Dalton Schultz (HOU),106.0,18.9,82.0,777,9.5,5.0,3.0,0.0,0.0,0.0,0.0,17.0,177.7,10.5,48.2%
11.0,Brock Bowers (LV),86.0,17.2,64.0,680,10.6,8.0,7.0,2.0,2.0,0.0,0.0,12.0,176.2,14.7,92.1%
12.0,Colston Loveland (CHI),82.0,15.5,58.0,713,12.3,10.0,6.0,1.0,-2.0,0.0,0.0,16.0,165.1,10.3,80.2%
13.0,George Kittle (SF),69.0,12.5,57.0,628,11.0,9.0,7.0,1.0,-3.0,0.0,0.0,11.0,161.5,14.7,89.4%
14.0,AJ Barner (SEA),68.0,15.1,52.0,519,10.0,3.0,6.0,10.0,14.0,1.0,0.0,17.0,147.3,8.7,37.0%
15.0,Oronde Gadsden II (LAC),69.0,12.8,49.0,664,13.6,11.0,3.0,0.0,0.0,0.0,1.0,15.0,131.4,8.8,55.9%
16.0,Mark Andrews (BAL),70.0,16.9,48.0,422,8.8,3.0,5.0,10.0,48.0,1.0,0.0,17.0,131.0,7.7,83.6%
17.0,Colby Parkinson (LAR),56.0,9.6,43.0,408,9.5,4.0,8.0,0.0,0.0,0.0,1.0,15.0,129.8,8.7,30.0%
18.0,Theo Johnson (NYG),74.0,14.8,45.0,528,11.7,8.0,5.0,0.0,0.0,0.0,0.0,15.0,127.8,8.5,40.3%
19.0,Zach Ertz (FA),72.0,0.0,50.0,504,10.1,5.0,4.0,0.0,0.0,0.0,0.0,13.0,126.4,9.7,23.3%
20.0,Dalton Kincaid (BUF),49.0,10.2,39.0,571,14.6,13.0,5.0,0.0,0.0,0.0,0.0,12.0,126.1,10.5,59.5%
21.0,Chig Okonkwo (WAS),79.0,18.6,56.0,560,10.0,6.0,2.0,0.0,0.0,0.0,0.0,17.0,124.0,7.3,26.0%
22.0,Cade Otton (TB),81.0,14.9,59.0,572,9.7,7.0,1.0,0.0,0.0,0.0,0.0,16.0,122.2,7.6,29.6%
23.0,Brenton Strange (JAC),60.0,10.9,46.0,540,11.7,9.0,3.0,0.0,0.0,0.0,0.0,12.0,118.0,9.8,52.3%
24.0,Tucker Kraft (GB),44.0,9.7,32.0,489,15.3,6.0,6.0,1.0,3.0,0.0,0.0,8.0,117.2,14.7,60.9%
25.0,Pat Freiermuth (PIT),54.0,10.8,41.0,486,11.9,6.0,4.0,0.0,0.0,0.0,0.0,17.0,113.6,6.7,31.4%
26.0,T.J. Hockenson (MIN),66.0,14.1,51.0,438,8.6,3.0,3.0,1.0,0.0,0.0,0.0,15.0,112.8,7.5,69.3%
27.0,Sam LaPorta (DET),49.0,8.8,40.0,489,12.2,6.0,3.0,0.0,0.0,0.0,0.0,9.0,106.9,11.9,72.1%
28.0,Dawson Knox (BUF),49.0,9.9,36.0,417,11.6,5.0,4.0,0.0,0.0,0.0,0.0,17.0,103.7,6.1,8.4%
29.0,Evan Engram (DEN),76.0,13.0,50.0,461,9.2,4.0,1.0,1.0,7.0,0.0,0.0,16.0,102.8,6.4,34.9%
30.0,Jake Tonges (SF),46.0,8.3,34.0,293,8.6,2.0,5.0,0.0,0.0,0.0,0.0,16.0,93.3,5.8,29.6%
31.0,Gunnar Helm (TEN),55.0,10.5,44.0,357,8.1,2.0,2.0,0.0,0.0,0.0,0.0,16.0,91.7,5.7,39.9%
32.0,Mason Taylor (NYJ),65.0,13.7,44.0,369,8.4,2.0,1.0,0.0,0.0,0.0,0.0,13.0,88.9,6.8,33.8%
33.0,Darren Waller (FA),34.0,0.0,24.0,283,11.8,5.0,6.0,1.0,4.0,0.0,0.0,9.0,88.7,9.9,27.5%
34.0,David Njoku (FA),48.0,0.0,33.0,293,8.9,2.0,4.0,0.0,0.0,0.0,0.0,12.0,86.3,7.2,33.1%
35.0,Jonnu Smith (FA),54.0,0.0,38.0,222,5.8,1.0,2.0,9.0,70.0,1.0,0.0,17.0,85.2,5.0,15.9%
