WRID,Player,REC,TGT,RecYDS,YardsPerReception,Longest,20YardsorMore,RecTD,RushingATT,RushingYDS,RushingTD,FumblesLost,Gamesplayed,FPTS,FPTSPerGame,ROST
1.0,Ja'Marr Chase (CIN),127.0,175.0,"1,708",13.4,70.0,19.0,17.0,3.0,32.0,0.0,0.0,17.0,403.0,23.7,99.0%
2.0,Justin Jefferson (MIN),103.0,154.0,"1,533",14.9,97.0,28.0,10.0,1.0,3.0,0.0,0.0,17.0,317.5,18.7,98.8%
3.0,Amon-Ra St. Brown (DET),115.0,141.0,"1,263",11.0,66.0,14.0,12.0,2.0,6.0,0.0,1.0,17.0,316.2,18.6,99.1%
4.0,Brian Thomas Jr. (JAC),87.0,133.0,"1,282",14.7,85.0,18.0,10.0,6.0,48.0,0.0,0.0,17.0,284.0,16.7,98.5%
5.0,Drake London (ATL),100.0,158.0,"1,271",12.7,39.0,12.0,9.0,1.0,-3.0,0.0,0.0,17.0,280.8,16.5,97.7%
6.0,Malik Nabers (NYG),109.0,170.0,"1,204",11.0,59.0,16.0,7.0,5.0,2.0,0.0,0.0,15.0,273.6,18.2,98.8%
7.0,Terry McLaurin (WAS),82.0,117.0,"1,096",13.4,86.0,12.0,13.0,2.0,2.0,0.0,1.0,17.0,267.8,15.8,97.5%
8.0,CeeDee Lamb (DAL),101.0,152.0,"1,194",11.8,65.0,16.0,6.0,14.0,70.0,0.0,1.0,15.0,263.4,17.6,98.4%
9.0,Jaxon Smith-Njigba (SEA),100.0,137.0,"1,130",11.3,46.0,14.0,6.0,5.0,26.0,0.0,0.0,17.0,253.0,14.9,96.4%
10.0,Garrett Wilson (NYJ),101.0,154.0,"1,104",10.9,42.0,16.0,7.0,2.0,5.0,0.0,2.0,17.0,251.9,14.8,95.8%
11.0,Davante Adams (LAR),85.0,141.0,"1,063",12.5,71.0,16.0,8.0,0.0,0.0,0.0,0.0,14.0,241.3,17.2,96.4%
12.0,Ladd McConkey (LAC),82.0,112.0,"1,149",14.0,60.0,15.0,7.0,0.0,0.0,0.0,0.0,16.0,240.9,15.1,97.6%
13.0,Jerry Jeudy (CLE),90.0,145.0,"1,229",13.7,89.0,13.0,4.0,0.0,0.0,0.0,0.0,17.0,240.9,14.2,89.4%
14.0,Mike Evans (TB),74.0,110.0,"1,004",13.6,57.0,15.0,11.0,0.0,0.0,0.0,0.0,14.0,240.4,17.2,96.8%
15.0,Courtland Sutton (DEN),81.0,135.0,"1,081",13.3,47.0,17.0,8.0,0.0,0.0,0.0,1.0,17.0,240.3,14.1,91.6%
16.0,DJ Moore (CHI),98.0,140.0,966,9.9,44.0,11.0,6.0,14.0,75.0,0.0,1.0,17.0,238.1,14.0,95.1%
17.0,Tee Higgins (CIN),73.0,109.0,911,12.5,42.0,12.0,10.0,0.0,0.0,0.0,1.0,12.0,222.1,18.5,97.5%
18.0,Tyreek Hill (MIA),81.0,123.0,959,11.8,80.0,13.0,6.0,8.0,53.0,0.0,0.0,17.0,218.2,12.8,96.7%
19.0,Jakobi Meyers (LV),87.0,129.0,"1,027",11.8,43.0,16.0,4.0,2.0,23.0,0.0,0.0,15.0,218.0,14.5,85.3%
20.0,A.J. Brown (PHI),67.0,97.0,"1,079",16.1,67.0,17.0,7.0,0.0,0.0,0.0,0.0,13.0,216.9,16.7,98.7%
21.0,Jordan Addison (MIN),63.0,99.0,875,13.9,69.0,13.0,9.0,3.0,20.0,1.0,0.0,15.0,212.5,14.2,89.2%
