Position,Player,CMP,PassingATT,PCT,PassingYDS,YardsPerThrow,PassingTD,INT,SACKS,RushingATT,RushingYDS,RushingTD,FumblesLost,Gamesplayed,FPTS,FPTSPerGame,ROST
QB,Josh Allen (BUF),385.0,579.0,66.5,4306.0,7.4,29.0,18.0,24.0,111.0,524.0,15.0,4.0,17.0,410.9,24.2,100.0
QB,Jalen Hurts (PHI),352.0,538.0,65.4,3858.0,7.2,23.0,15.0,36.0,157.0,605.0,15.0,5.0,17.0,371.9,21.9,100.0
QB,Dak Prescott (DAL),410.0,590.0,69.5,4516.0,7.7,36.0,9.0,39.0,55.0,242.0,2.0,2.0,17.0,352.0,20.7,99.0
QB,Lamar Jackson (BAL),307.0,457.0,67.2,3678.0,8.0,24.0,7.0,37.0,148.0,821.0,5.0,6.0,16.0,338.2,21.1,97.6
QB,Jordan Love (GB),372.0,579.0,64.2,4159.0,7.2,32.0,11.0,30.0,50.0,247.0,4.0,3.0,17.0,330.1,19.4,81.4
QB,Brock Purdy (SF),308.0,444.0,69.4,4280.0,9.6,31.0,11.0,28.0,39.0,144.0,2.0,2.0,16.0,306.6,19.2,90.8
QB,Jared Goff (DET),407.0,605.0,67.3,4575.0,7.6,30.0,12.0,30.0,32.0,21.0,2.0,3.0,17.0,302.9,17.8,81.8
QB,Patrick Mahomes II (KC),401.0,597.0,67.2,4183.0,7.0,27.0,14.0,27.0,75.0,389.0,0.0,3.0,16.0,294.1,18.4,97.9
QB,Tua Tagovailoa (MIA),388.0,560.0,69.3,4624.0,8.3,29.0,14.0,29.0,35.0,74.0,0.0,5.0,17.0,284.4,16.7,94.6
QB,Baker Mayfield (TB),364.0,566.0,64.3,4044.0,7.1,28.0,10.0,40.0,62.0,163.0,1.0,3.0,17.0,284.0,16.7,66.2
QB,C.J. Stroud (HOU),319.0,499.0,63.9,4108.0,8.2,23.0,5.0,38.0,39.0,167.0,3.0,4.0,15.0,281.1,18.7,91.2
QB,Sam Howell (WAS),388.0,612.0,63.4,3946.0,6.4,21.0,21.0,65.0,48.0,263.0,5.0,2.0,17.0,278.6,16.4,53.0
QB,Trevor Lawrence (JAC),370.0,564.0,65.6,4016.0,7.1,21.0,14.0,35.0,70.0,339.0,4.0,7.0,16.0,276.6,17.3,85.5
QB,Russell Wilson (PIT),297.0,447.0,66.4,3070.0,6.9,26.0,8.0,45.0,80.0,341.0,3.0,5.0,15.0,264.9,17.7,57.0
QB,Matthew Stafford (LAR),326.0,521.0,62.6,3965.0,7.6,24.0,11.0,30.0,21.0,65.0,0.0,0.0,15.0,254.3,17.0,72.5
QB,Derek Carr (NO),375.0,548.0,68.4,3878.0,7.1,25.0,8.0,31.0,32.0,40.0,0.0,3.0,17.0,249.1,14.7,37.8
QB,Justin Herbert (LAC),297.0,456.0,65.1,3134.0,6.9,20.0,7.0,29.0,52.0,228.0,3.0,1.0,13.0,241.2,18.6,54.5
QB,Justin Fields (CHI),227.0,370.0,61.4,2562.0,6.9,16.0,9.0,44.0,124.0,657.0,4.0,4.0,13.0,239.1,18.4,94.1
