Position,Player,REC,TGT,RecYDS,YardsPerReception,Longest,20YardsorMore,RecTD,RushingATT,RushingYDS,RushingTD,FumblesLost,Gamesplayed,FPTS,FPTSPerGame,ROST
TE,Sam LaPorta (DET),86.0,120.0,889.0,10.3,48.0,15.0,10.0,1.0,4.0,0.0,0.0,17.0,239.3,14.1,98.1
TE,Evan Engram (JAC),114.0,143.0,963.0,8.4,34.0,10.0,4.0,0.0,0.0,0.0,2.0,17.0,230.3,13.5,96.7
TE,Travis Kelce (KC),93.0,121.0,984.0,10.6,53.0,17.0,5.0,0.0,0.0,0.0,1.0,15.0,219.4,14.6,99.3
TE,T.J. Hockenson (MIN),95.0,127.0,960.0,10.1,29.0,13.0,5.0,0.0,0.0,0.0,1.0,15.0,219.0,14.6,75.9
TE,George Kittle (SF),65.0,90.0,1020.0,15.7,66.0,31.0,6.0,1.0,2.0,0.0,0.0,16.0,203.2,12.7,98.0
TE,David Njoku (CLE),81.0,123.0,882.0,10.9,43.0,21.0,6.0,0.0,0.0,0.0,2.0,16.0,201.2,12.6,93.3
TE,Trey McBride (ARI),81.0,106.0,825.0,10.2,38.0,11.0,3.0,0.0,0.0,0.0,0.0,17.0,181.5,10.7,87.8
TE,Cole Kmet (CHI),73.0,90.0,719.0,9.8,53.0,14.0,6.0,3.0,2.0,0.0,0.0,17.0,181.1,10.7,83.6
TE,Jake Ferguson (DAL),71.0,102.0,761.0,10.7,40.0,12.0,5.0,0.0,0.0,0.0,0.0,17.0,177.1,10.4,89.9
TE,Dalton Schultz (HOU),59.0,88.0,635.0,10.8,31.0,8.0,5.0,0.0,0.0,0.0,1.0,15.0,150.5,10.0,79.8
TE,Dalton Kincaid (BUF),73.0,91.0,673.0,9.2,51.0,8.0,2.0,0.0,0.0,0.0,1.0,16.0,150.3,9.4,80.5
TE,Taysom Hill (NO),33.0,40.0,291.0,8.8,36.0,3.0,2.0,81.0,401.0,4.0,1.0,16.0,143.5,9.0,54.3
TE,Kyle Pitts (ATL),53.0,90.0,667.0,12.6,39.0,10.0,3.0,1.0,-4.0,0.0,0.0,17.0,137.3,8.1,81.6
TE,Dallas Goedert (PHI),59.0,83.0,592.0,10.0,49.0,8.0,3.0,1.0,1.0,0.0,0.0,14.0,136.3,9.7,90.6
TE,Mark Andrews (BAL),45.0,61.0,544.0,12.1,38.0,11.0,6.0,1.0,0.0,0.0,0.0,10.0,135.4,13.5,51.0
TE,Logan Thomas (FA),55.0,78.0,496.0,9.0,29.0,3.0,4.0,1.0,2.0,0.0,2.0,16.0,126.8,7.9,37.3
