Position,Player,TGT,TGT %,REC,RecYDS,YardsPerReception,20YardsorMore,RecTD,RushingATT,RushingYDS,RushingTD,FumblesLost,Gamesplayed,FPTS,FPTSPerGame,ROST
WR,Puka Nacua (LAR),166.0,28.6,129.0,1715.0,13.3,27.0,10.0,10.0,105.0,1.0,1.0,16.0,375.0,23.4,98.6
WR,Jaxon Smith-Njigba (SEA),163.0,36.0,119.0,1793.0,15.1,27.0,10.0,7.0,36.0,0.0,1.0,17.0,359.9,21.2,99.0
WR,Amon-Ra St. Brown (DET),172.0,31.4,117.0,1401.0,12.0,19.0,11.0,3.0,9.0,0.0,0.0,17.0,324.0,19.1,98.2
WR,Ja'Marr Chase (CIN),185.0,30.2,125.0,1412.0,11.3,15.0,8.0,3.0,14.0,0.0,1.0,16.0,313.6,19.6,98.3
WR,George Pickens (DAL),137.0,22.7,93.0,1429.0,15.4,22.0,9.0,0.0,0.0,0.0,0.0,17.0,291.9,17.2,92.2
WR,Chris Olave (NO),156.0,27.7,100.0,1163.0,11.6,11.0,9.0,1.0,-3.0,0.0,0.0,16.0,269.0,16.8,89.4
WR,Zay Flowers (BAL),118.0,28.9,86.0,1211.0,14.1,19.0,5.0,10.0,62.0,1.0,3.0,17.0,243.3,14.3,95.8
WR,Nico Collins (HOU),120.0,21.5,71.0,1117.0,15.7,18.0,6.0,2.0,15.0,1.0,1.0,15.0,226.2,15.1,98.7
WR,Davante Adams (LAR),114.0,19.6,60.0,789.0,13.2,14.0,14.0,0.0,0.0,0.0,0.0,14.0,222.9,15.9,93.7
WR,Michael Wilson (ARI),126.0,20.1,78.0,1006.0,12.9,14.0,7.0,0.0,0.0,0.0,0.0,17.0,220.6,13.0,87.3
WR,A.J. Brown (PHI),121.0,26.0,78.0,1003.0,12.9,14.0,7.0,0.0,0.0,0.0,0.0,15.0,220.3,14.7,95.2
WR,Jameson Williams (DET),102.0,18.5,65.0,1117.0,17.2,23.0,7.0,6.0,12.0,0.0,0.0,17.0,219.9,12.9,88.0
WR,Courtland Sutton (DEN),124.0,21.1,74.0,1017.0,13.7,17.0,7.0,0.0,0.0,0.0,0.0,17.0,219.7,12.9,93.2
WR,Wan'Dale Robinson (TEN),140.0,26.4,92.0,1014.0,11.0,14.0,4.0,3.0,5.0,0.0,0.0,16.0,217.9,13.6,77.8
WR,Tee Higgins (CIN),98.0,16.1,59.0,846.0,14.3,14.0,11.0,0.0,0.0,0.0,0.0,15.0,211.6,14.1,90.8
WR,Tetairoa McMillan (CAR),122.0,25.6,70.0,1014.0,14.5,17.0,7.0,0.0,0.0,0.0,1.0,17.0,211.4,12.4,96.1
