"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Jason Myers (SEA)","41","48","85.4","57","0","5","14","13","9","48","48","17","202.0","11.9","84.5%"
"2","Ka'imi Fairbairn (HOU)","44","48","91.7","57","0","8","11","16","9","28","28","15","194.0","12.9","68.8%"
"3","Brandon Aubrey (DAL)","36","42","85.7","64","0","10","5","10","11","47","48","17","187.6","11.0","94.3%"
"4","Cameron Dicker (LAC)","38","41","92.7","59","0","7","14","12","5","34","35","17","170.0","10.0","85.5%"
"5","Cam Little (JAC)","30","34","88.2","68","0","5","9","8","8","50","51","17","164.0","9.6","72.5%"
"6","Will Reichard (MIN)","33","35","94.3","62","0","6","9","7","11","31","31","17","159.0","9.4","28.9%"
"7","Chase McLaughlin (TB)","32","38","84.2","65","0","6","9","6","11","32","33","17","156.0","9.2","58.9%"
"8","Jake Bates (DET)","27","34","79.4","59","0","6","8","9","4","54","56","17","152.0","8.9","60.6%"
"9","Chris Boswell (PIT)","27","32","84.4","60","0","6","2","10","9","42","43","17","151.0","8.9","46.8%"
"10","Andy Borregales (NE)","27","32","84.4","59","2","6","8","7","4","53","55","17","149.0","8.8","16.4%"
"10","Harrison Butker (KC)","33","38","86.8","59","1","9","9","9","5","31","35","17","149.0","8.8","52.3%"
"12","Tyler Loop (BAL)","30","34","88.2","52","0","10","11","8","1","44","46","17","144.0","8.5","41.4%"
"13","Eddy Pineiro (SF)","28","29","96.6","59","0","5","7","10","6","34","38","14","140.0","10.0","47.4%"
"14","Evan McPherson (CIN)","25","28","89.3","63","0","4","6","10","5","41","44","17","136.0","8.0","36.4%"
"15","Joey Slye (TEN)","28","35","80.0","58","0","6","6","7","9","26","27","16","135.0","8.4","6.3%"
"16","Wil Lutz (DEN)","28","32","87.5","57","0","10","11","3","4","39","39","17","134.0","7.9","25.7%"
"17","Cairo Santos (CHI)","25","30","83.3","54","0","3","8","10","4","39","39","15","132.0","8.8","24.9%"
"17","Riley Patterson (MIA)","27","29","93.1","54","0","5","8","11","3","34","35","17","132.0","7.8","7.3%"
"19","Chad Ryland (ARI)","25","33","75.8","57","0","5","7","7","6","36","36","17","130.0","7.6","3.3%"
"20","Blake Grupe (IND)","29","37","78.4","60","0","9","10","3","7","25","25","16","129.0","8.1","3.8%"
"21","Nick Folk (ATL)","28","29","96.6","58","0","5","9","7","7","22","22","16","127.0","7.9","8.5%"
"22","Jake Elliott (PHI)","20","27","74.1","58","0","3","6","7","4","41","42","17","116.0","6.8","27.7%"
"23","Brandon McManus (GB)","24","30","80.0","56","0","10","8","3","3","32","33","14","113.0","8.1","12.4%"
"24","Andre Szmyt (CLE)","24","27","88.9","55","0","4","10","5","5","25","26","17","112.0","6.6","4.6%"
"25","Ryan Fitzgerald (CAR)","24","29","82.8","57","0","6","8","8","2","27","30","17","111.0","6.5","4.8%"
"26","Matt Prater (FA)","18","20","90.0","52","0","4","7","6","1","46","49","15","108.0","7.2","9.4%"
"27","Daniel Carlson (LV)","22","27","81.5","60","0","5","6","6","5","21","22","17","103.0","6.1","6.0%"
"28","Zane Gonzalez (MIA)","19","22","86.4","56","0","1","3","8","7","17","18","9","96.0","10.7","2.6%"
"29","Matt Gay (LV)","17","23","73.9","56","0","4","3","6","4","26","26","12","91.0","7.6","6.6%"
"30","Harrison Mevis (LAR)","12","13","92.3","52","0","3","3","5","1","39","39","9","82.0","9.1","40.2%"
"31","Jake Moody (WAS)","19","23","82.6","56","0","5","7","5","2","15","16","9","81.0","9.0","2.5%"
"32","Michael Badgley (FA)","11","12","91.7","53","0","1","3","5","2","20","25","9","62.0","6.9","1.7%"
"33","Charlie Smyth (NO)","12","16","75.0","57","0","1","4","3","4","13","13","6","60.0","10.0","2.7%"
"34","Joshua Karty (ARI)","10","15","66.7","51","0","3","3","3","1","23","26","8","58.0","7.3","2.3%"
"35","Spencer Shrader (IND)","13","14","92.9","52","0","5","5","2","1","14","14","5","57.0","11.4","1.0%"
"36","Parker Romo (FA)","11","14","78.6","54","0","2","7","1","1","12","13","7","48.0","6.9","7.8%"
"37","Graham Gano (FA)","9","10","90.0","55","0","3","4","1","1","9","9","5","39.0","7.8","1.0%"
"38","Younghoe Koo (FA)","6","9","66.7","44","1","1","2","2","0","13","14","6","33.0","5.5","3.4%"
"39","Ben Sauls (NYG)","8","8","100.0","45","0","3","4","1","0","7","7","3","32.0","10.7","4.5%"
"40","Matthew Wright (FA)","5","5","100.0","46","0","1","1","3","0","4","4","4","22.0","5.5","1.9%"
"40","Lucas Havrisik (GB)","4","4","100.0","61","0","0","2","1","1","7","9","3","22.0","7.3","11.2%"
"42","Jude McAtamney (FA)","2","2","100.0","31","0","1","1","0","0","9","12","4","15.0","3.8","0.6%"
"43","Jason Sanders (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.2%"
"43","Tyler Bass (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.2%"
"43","Maddux Trujillo (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"43","Lenny Krieg (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"43","Cade York (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.5%"
"43","Zac Derr (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"43","Steven Weatherford (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"43","Ricky Schmit (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"43","Piotr Czech (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"43","Jason Reda (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"43","Garrett Rivas (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"43","Carlos Martinez (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
