"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Puka Nacua (LAR)","166","28.6","129","1,715","13.3","27","10","10","105","1","1","16","375.0","23.4","98.6%"
"2","Jaxon Smith-Njigba (SEA)","163","36","119","1,793","15.1","27","10","7","36","0","1","17","359.9","21.2","99.0%"
"3","Amon-Ra St. Brown (DET)","172","31.4","117","1,401","12.0","19","11","3","9","0","0","17","324.0","19.1","98.2%"
"4","Ja'Marr Chase (CIN)","185","30.2","125","1,412","11.3","15","8","3","14","0","1","16","313.6","19.6","98.3%"
"5","George Pickens (DAL)","137","22.7","93","1,429","15.4","22","9","0","0","0","0","17","291.9","17.2","92.2%"
"6","Chris Olave (NO)","156","27.7","100","1,163","11.6","11","9","1","-3","0","0","16","269.0","16.8","89.4%"
"7","Zay Flowers (BAL)","118","28.9","86","1,211","14.1","19","5","10","62","1","3","17","243.3","14.3","95.8%"
"8","Nico Collins (HOU)","120","21.5","71","1,117","15.7","18","6","2","15","1","1","15","226.2","15.1","98.7%"
"9","Davante Adams (LAR)","114","19.6","60","789","13.2","14","14","0","0","0","0","14","222.9","15.9","93.7%"
"10","Michael Wilson (ARI)","126","20.1","78","1,006","12.9","14","7","0","0","0","0","17","220.6","13.0","87.3%"
"11","A.J. Brown (PHI)","121","26","78","1,003","12.9","14","7","0","0","0","0","15","220.3","14.7","95.2%"
"12","Jameson Williams (DET)","102","18.5","65","1,117","17.2","23","7","6","12","0","0","17","219.9","12.9","88.0%"
"13","Courtland Sutton (DEN)","124","21.1","74","1,017","13.7","17","7","0","0","0","0","17","219.7","12.9","93.2%"
"14","Wan'Dale Robinson (TEN)","140","26.4","92","1,014","11.0","14","4","3","5","0","0","16","217.9","13.6","77.8%"
"15","Tee Higgins (CIN)","98","16.1","59","846","14.3","14","11","0","0","0","0","15","211.6","14.1","90.8%"
"16","Tetairoa McMillan (CAR)","122","25.6","70","1,014","14.5","17","7","0","0","0","1","17","211.4","12.4","96.1%"
"17","Stefon Diggs (FA)","102","0","85","1,013","11.9","17","4","0","0","0","0","17","210.3","12.4","72.5%"
"18","Michael Pittman Jr. (PIT)","111","21.5","80","784","9.8","5","7","0","0","0","0","17","202.4","11.9","82.6%"
"19","Drake London (ATL)","112","21.4","68","919","13.5","13","7","0","0","0","1","12","201.9","16.8","93.1%"
"20","DeVonta Smith (PHI)","113","24.3","77","1,008","13.1","14","4","0","0","0","0","17","201.8","11.9","95.9%"
"21","Justin Jefferson (MIN)","141","30.4","84","1,048","12.5","12","2","2","7","0","0","17","201.5","11.9","93.3%"
"22","CeeDee Lamb (DAL)","117","19.2","75","1,077","14.4","16","3","1","2","0","0","14","200.9","14.4","93.9%"
"23","Emeka Egbuka (TB)","127","23.7","63","938","14.9","20","6","2","9","0","0","17","195.7","11.5","91.4%"
"24","Jaylen Waddle (DEN)","100","17","64","910","14.2","14","6","2","28","0","0","16","194.1","12.1","94.8%"
"25","Deebo Samuel Sr. (FA)","99","0","72","727","10.1","10","5","17","75","1","0","16","188.2","11.8","62.4%"
"26","DK Metcalf (PIT)","99","19","59","850","14.4","15","6","2","12","1","0","15","187.2","12.5","86.6%"
"27","Parker Washington (JAC)","95","17.1","58","847","14.6","17","5","7","0","0","0","16","184.7","11.5","65.1%"
"28","Alec Pierce (IND)","84","15.8","47","1,003","21.3","17","6","0","0","0","0","15","183.3","12.2","70.4%"
"29","Keenan Allen (LAC)","122","22.6","81","777","9.6","6","4","0","0","0","0","17","182.7","10.7","39.9%"
"30","Ladd McConkey (LAC)","106","19.7","66","789","12.0","8","6","0","0","0","0","16","180.9","11.3","95.5%"
"31","Troy Franklin (DEN)","104","17.9","65","709","10.9","9","6","5","12","0","1","17","177.1","10.4","43.9%"
"32","Jakobi Meyers (JAC)","110","20","75","835","11.1","10","3","5","13","0","1","16","175.8","11.0","80.5%"
"33","Jauan Jennings (FA)","90","0","55","643","11.7","9","9","0","0","0","1","15","173.3","11.6","63.5%"
"34","Quentin Johnston (LAC)","85","15.9","51","735","14.4","13","8","2","7","0","1","14","171.2","12.2","73.2%"
"35","DJ Moore (BUF)","85","17.5","50","682","13.6","12","6","15","79","1","1","17","170.2","10.0","89.8%"
"36","Khalil Shakir (BUF)","95","19.7","72","719","10.0","8","4","1","5","0","1","16","166.4","10.4","78.9%"
"37","Romeo Doubs (NE)","85","17.5","55","724","13.2","12","6","0","0","0","0","16","165.4","10.3","72.8%"
"38","Tre Tucker (LV)","92","18.4","57","696","12.2","9","5","11","51","0","0","17","161.7","9.5","46.8%"
"39","Rashid Shaheed (SEA)","92","20.1","59","687","11.6","6","2","9","69","0","1","18","156.6","8.7","60.3%"
"40","Rashee Rice (KC)","78","14.2","53","571","10.8","9","5","5","20","1","0","8","150.1","18.8","92.0%"
"41","Rome Odunze (CHI)","90","16.9","44","661","15.0","13","6","0","0","0","0","12","146.1","12.2","87.4%"
"42","Brian Thomas Jr. (JAC)","91","16.6","48","707","14.7","11","2","3","21","1","0","14","138.8","9.9","90.6%"
"43","Hollywood Brown (PHI)","74","15.9","49","587","12.0","7","5","0","0","0","0","16","137.7","8.6","16.8%"
"44","Josh Downs (IND)","88","16.5","58","566","9.8","4","4","2","-2","0","1","16","136.4","8.5","62.0%"
"45","Jordan Addison (MIN)","79","16.9","42","610","14.5","11","3","2","81","1","0","14","135.1","9.7","76.5%"
"46","Christian Watson (GB)","55","12.1","35","611","17.5","11","6","1","3","0","0","10","132.4","13.2","76.9%"
"47","Jayden Higgins (HOU)","68","12.2","41","525","12.8","5","6","0","0","0","0","17","129.5","7.6","45.4%"
"48","Luther Burden III (CHI)","60","11.4","47","652","13.9","11","2","6","37","0","0","15","127.9","8.5","67.7%"
"49","Marvin Harrison Jr. (ARI)","73","11.8","41","608","14.8","9","4","0","0","0","0","12","127.8","10.7","90.6%"
"50","Chimere Dike (TEN)","74","14","48","423","8.8","6","4","11","18","0","1","17","126.1","7.4","33.4%"
"51","Kayshon Boutte (NE)","46","9.3","33","551","16.7","10","6","0","0","0","0","14","124.1","8.9","36.8%"
"52","Jerry Jeudy (CLE)","106","20.5","50","602","12.0","6","2","1","5","0","1","17","120.7","7.1","67.1%"
"53","Cooper Kupp (SEA)","70","15.6","47","593","12.6","8","2","0","0","0","1","16","117.3","7.3","36.3%"
"54","Malik Washington (MIA)","65","14.4","46","317","6.9","2","3","17","110","1","1","17","116.7","6.9","24.5%"
"55","Elic Ayomanor (TEN)","89","16.6","41","515","12.6","8","4","0","0","0","0","16","116.5","7.3","29.8%"
"56","Terry McLaurin (WAS)","60","13.7","38","582","15.3","7","3","0","0","0","0","10","114.2","11.4","86.0%"
"57","Ryan Flournoy (DAL)","56","9.2","40","475","11.9","5","4","4","25","0","0","15","114.0","7.6","22.1%"
"58","Mack Hollins (NE)","65","13.4","46","550","12.0","8","2","1","4","0","0","15","113.4","7.6","7.2%"
